,Year,Copper,Iron,Zinc,Manganese,Lead
1629,2019.0,0.041,0.034,0.034,0.002,0.034
1630,2019.0,0.005,0.005,0.006,0.002,0.006
1631,2019.0,0.005,0.005,0.005,0.002,0.005
1632,2019.0,0.006,0.005,0.027,0.002,0.027
1633,2019.0,0.005,0.005,0.005,0.002,0.005
1634,2019.0,0.005,0.005,0.009,0.002,0.009
1635,2019.0,0.0,0.0,0.009,0.0,0.009
1636,2019.0,0.147,0.288,0.024,0.006,0.024
1637,2019.0,0.153,0.023,0.013,0.0,0.013
1638,2019.0,0.0,0.009,0.0,0.0,0.0
1639,2019.0,0.051,0.168,0.014,0.003,0.014
1640,2019.0,0.029,0.025,0.053,0.0,0.053
